Name: Toadette | Species: Shroomish | Category: Season 3
Name: Toadette | Species: Breloom | Category: Season 3
Name: SneeSnoo | Species: Panpour | Category: Season 5 
Name: SneeSnoo | Species: Simipour | Category: Season 5 
Name: Tingyun | Species: Vulpix | Category: Season 6 | 
Name: Tingyun | Species: Ninetales | Category: Season 6 
Name: Chic P. | Species: Chikorita | Category: Veterans
Name: Chic P. | Species: Bayleef | Category: Veterans
Name: Chic P. | Species: Meganium | Category: Veterans
Name: LinguinePR | Species: Piplup | Category: Season 4
Name: LinguinePR | Species: Prinplup | Category: Season 4
Name: LinguinePR | Species: Empoleon | Category: Season 4
Name: Koko | Species: Treecko | Category: Season 3
Name: Koko | Species: Grovyle | Category: Season 3
Name: Koko | Species: Sceptile | Category: Season 3
Name: Delphaba | Species: Fennekin | Category: Season 5
Name: Delphaba | Species: Braixen | Category: Season 5
Name: Delphaba | Species: Delphox | Category: Season 5
Name: Calypsa | Species: Popplio | Category: Season 7
Name: Calypsa | Species: Brionne | Category: Season 7
Name: Calypsa | Species: Primarina | Category: Season 7
Name: Thee Chic | Species: Torchic | Category: Season 6
Name: Thee Chic | Species: Combusken | Category: Season 6
Name: Thee Chic | Species: Blaziken | Category: Season 6
Name: ITZY | Species: Weedle | Category: Veterans
Name: ITZY | Species: Kakuna | Category: Veterans
Name: ITZY | Species: Beedrill | Category: Veterans
Name: Chanel | Species: Wurmple | Category: Season 4
Name: Chanel | Species: Silcoon | Category: Season 4
Name: Chanel | Species: Beautifly | Category: Season 4
Name: Yves | Species: Wurmple | Category: Season 6
Name: Yves | Species: Cascoon | Category: Season 6
Name: Yves | Species: Dustox | Category: Season 6
Name: Vivienne W. | Species: Scatterbug | Category: Season 5
Name: Vivienne W. | Species: Spewpa | Category: Season 5
Name: Vivienne W. | Species: Vivillion | Category: Season 5
Name: LedyBaBa | Species: Ledyba | Category: Season 5
Name: LedyBaBa | Species: Ledian | Category: Season 5
Name: Bidookie | Species: Bidoof | Category: Season 4
Name: Bidookie | Species: Bibarel | Category: Season 4
Name: Brioche | Species: Sentret | Category: Season 6
Name: Brioche | Species: Furret | Category: Season 6
Name: TRIX | Species: Bunnelby | Category: Season 5
Name: TRIX | Species: Diggersby | Category: Season 5
Name: So Julia | Species: Buneary | Category: Season 4
Name: So Julia | Species: Lopunny | Category: Season 4
Name: Bore Worm | Species: Burmy | Category: Season 5
Name: Bore Worm | Species: Mothim | Category: Season 5
Name: Just Jade | Species: Oddish | Category: Season 6
Name: Just Jade | Species: Gloom | Category: Season 6
Name: Just Jade | Species: Bellossom | Category: Season 6
Name: Eden | Species: Hoppip | Category: Season 5
Name: Eden | Species: Skiploom | Category: Season 5
Name: Eden | Species: Jumpluff | Category: Season 5
Name: Labugbu | Species: Cutiefly | Category: Season 7
Name: Labugbu | Species: Ribombee | Category: Season 7
Name: Bri | Species: Nidoran F | Category: Veterans
Name: Bri | Species: Nidorina | Category: Veterans
Name: Bri | Species: Nidoqueen | Category: Veterans
Name: Jet2 | Species: Pikipek | Category: Season 7
Name: Jet2 | Species: Trumbreak | Category: Season 7
Name: Jet2 | Species: Toucannon | Category: Season 7
Name: Blush | Species: Skitty | Category: Season 3
Name: Blush | Species: Delcatty | Category: Season 3  
Name: Missy | Species: Poochyena | Category: Season 3
Name: Missy | Species: Mightyena | Category: Season 3
Name: Tiny | Species: Whismur | Category: Season 3
Name: Tiny | Species: Loudred | Category: Season 3
Name: Tiny | Species: Exploud | Category: Season 3
Name: Bambalina | Species: Snubbull | Category: Season 5
Name: Bambalina | Species: Granbull | Category: Season 5
Name: Daphne Rose | Species: Corsola | Category: Season 6
Name: Toad | Species: Lotad | Category: Season 3
Name: Toad | Species: Lombre | Category: Season 3
Name: Toad | Species: Ludicolo | Category: Season 3
Name: Shimmer | Species: Clamperl | Category: Season 6
Name: Shimmer | Species: Gorebyss | Category: Season 6
Name: Paris | Species: Furfrou | Category: Season 5
Name: No-ehl | Species: Zubat | Category: Veterans
Name: No-ehl | Species: Golbat | Category: Veterans
Name: No-ehl | Species: Crobat | Category: Veterans
Name: Pancake | Species: Pichu | Category: Season 7
Name: Pancake | Species: Pikachu | Category: Season 7
Name: Pancake | Species: Alolan Raichu | Category: Season 7
Name: Tokyo Lights | Species: Plusle | Category: Season 5
Name: Kyoto Nights | Species: Plusle | Category: Season 5
Name: xX Brat Xx | Species: Pachirisu | Category: Season 4
Name: Hamtaro | Species: Dedenne | Category: Season 5
Name: Reneigh | Species: Mudbray | Category: Season 7
Name: Reneigh | Species: Mudsdale | Category: Season 7
